嗨	hi
等等	wait
不会吧	oh no
我	i
我	me
好	good
我试试	i try
干杯	cheers
我没事	i'm ok
听	listen
不可能	no way
我爱中国	i love China
联系我	call me
再见	See you
做得好	good job
我爱中国	I love China
中国	China
祝贺	congratulations
慢慢来	take your time
没那么急	there's no hurry
我同意。	I agree.
试试	try
没关系。	It's ok.
我是个英雄。	I'm a hero.
好好学习	study hard
学习	study
同意	agree
准备	ready
继续努力	keep trying
祝你好梦	sweet dream
放轻松	take it easy
难以置信	unbelievable
我们成功啦	we succeeded
你准备好了吗？	Are you ready?
时间就是金钱	time is money
新年快乐	happy new year
祝贺	congratulations
新年	new year
快乐	happy
金钱	money
成功	success
梦	dream
